country_name,"Density
(P/Km2)",Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude
Afghanistan,60,32.49,8672.0,0.023,4.47,19101353833.0,47.9,64.5,638.0,0.43,0.784,0.28,38041754.0,0.093,0.714,0.1112,9797273.0,33.93911,67.709953
Albania,105,11.78,4536.0,0.014,1.62,15278077447.0,7.8,78.5,15.0,1.12,0.569,1.2,2854191.0,0.186,0.366,0.1233,1747593.0,41.153332,20.168331
Algeria,18,24.28,150006.0,0.02,3.02,169988236398.0,20.1,76.7,112.0,0.95,0.281,1.72,43053054.0,0.372,0.661,0.117,31510100.0,28.033886,1.659626
Andorra,164,7.2,469.0,,1.27,3154057987.0,2.7,,,6.63,0.364,3.33,77142.0,,,,67873.0,42.506285,1.521801
Angola,26,40.73,34693.0,0.171,5.52,94635415870.0,51.6,60.8,241.0,0.71,0.334,0.21,31825295.0,0.092,0.491,0.0689,21061025.0,-11.202692,17.873887
Antigua and Barbuda,223,15.33,557.0,0.012,1.99,1727759259.0,5.0,76.9,42.0,3.04,0.243,2.76,97118.0,0.165,0.43,,23800.0,17.060816,-61.796428
Argentina,17,17.02,201348.0,0.535,2.26,449663446954.0,8.8,76.5,39.0,3.35,0.176,3.96,44938712.0,0.101,1.063,0.0979,41339571.0,-38.416097,-63.616672
Armenia,104,13.99,5156.0,0.014,1.76,13672802158.0,11.0,74.9,26.0,0.66,0.816,4.4,2957731.0,0.209,0.226,0.1699,1869848.0,40.069099,45.038189
Australia,3,12.6,375908.0,0.016,1.74,1392680589329.0,3.1,82.7,6.0,13.59,0.196,3.68,25766605.0,0.23,0.474,0.0527,21844756.0,-25.274398,133.775136
Austria,109,9.7,61448.0,0.015,1.47,446314739528.0,2.9,81.6,5.0,,0.179,5.17,8877067.0,0.254,0.514,0.0467,5194416.0,47.516231,14.550072
