country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Happiness Score,Social support,Freedom to make life choices,Perceptions of corruption
Finland,22.0,8.0,86.0,36.0,15.0,98.0,1.0,122.0,9.0,,38.0,117.0,36.0,97.0,64.0,92.0,53.0,140.0,138.0,136.0,4.0
Denmark,101.0,36.0,74.0,34.0,48.0,104.0,30.0,116.0,13.0,,15.0,123.0,38.0,127.0,19.0,67.0,55.0,139.0,138.0,134.0,3.0
Switzerland,110.0,24.0,77.0,22.0,24.0,121.0,31.0,138.0,20.0,,60.0,128.0,51.0,20.0,29.0,60.0,67.0,138.0,130.0,124.0,8.0
Iceland,4.0,48.0,12.0,87.0,44.0,42.0,2.0,132.0,13.0,,28.0,125.0,1.0,110.0,42.0,26.0,3.0,137.0,140.0,137.0,36.0
Netherlands,131.0,20.0,108.0,75.0,32.0,124.0,25.0,123.0,20.0,111.0,10.0,115.0,79.0,108.0,80.0,28.0,96.0,136.0,130.0,120.0,9.0
Norway,15.0,33.0,80.0,63.0,29.0,110.0,8.0,134.0,4.0,,16.0,99.0,34.0,111.0,59.0,33.0,50.0,135.0,138.0,139.0,7.0
Sweden,27.0,42.0,83.0,55.0,53.0,118.0,9.0,129.0,13.0,,23.0,121.0,62.0,124.0,108.0,90.0,82.0,134.0,121.0,133.0,5.0
Luxembourg,116.0,30.0,43.0,50.0,11.0,74.0,6.0,126.0,20.0,115.0,6.0,103.0,5.0,120.0,9.0,72.0,7.0,133.0,106.0,116.0,10.0
New Zealand,22.0,47.0,76.0,48.0,44.0,90.0,36.0,125.0,35.0,114.0,13.0,114.0,31.0,125.0,53.0,46.0,48.0,132.0,134.0,128.0,6.0
Austria,86.0,20.0,92.0,44.0,20.0,113.0,18.0,121.0,20.0,,32.0,135.0,52.0,116.0,112.0,64.0,56.0,131.0,121.0,117.0,15.0
Australia,4.0,50.0,124.0,48.0,49.0,127.0,22.0,132.0,24.0,116.0,37.0,116.0,91.0,108.0,102.0,70.0,102.0,130.0,126.0,121.0,12.0
Israel,126.0,89.0,94.0,34.0,102.0,109.0,19.0,134.0,9.0,107.0,47.0,132.0,53.0,109.0,23.0,41.0,76.0,129.0,125.0,67.0,59.0
Germany,115.0,16.0,134.0,43.0,29.0,137.0,22.0,114.0,28.0,109.0,12.0,127.0,124.0,30.0,106.0,27.0,129.0,128.0,103.0,99.0,14.0
Canada,7.0,26.0,129.0,56.0,22.0,130.0,34.0,125.0,39.0,108.0,18.0,93.0,104.0,42.0,21.0,77.0,111.0,127.0,114.0,122.0,11.0
Costa Rica,79.0,55.0,39.0,61.0,51.0,69.0,56.0,112.0,61.0,82.0,40.0,98.0,33.0,50.0,121.0,117.0,45.0,126.0,96.0,130.0,84.0
United Kingdom,118.0,40.0,125.0,50.0,39.0,136.0,30.0,119.0,28.0,110.0,20.0,95.0,120.0,117.0,35.0,40.0,125.0,125.0,121.0,91.0,13.0
Czech Republic,102.0,37.0,103.0,82.0,41.0,95.0,16.0,110.0,9.0,93.0,20.0,126.0,63.0,61.0,95.0,13.0,73.0,124.0,132.0,90.0,117.0
United States,35.0,44.0,138.0,118.0,48.0,140.0,39.0,107.0,57.0,106.0,8.0,93.0,138.0,16.0,64.0,127.0,137.0,123.0,111.0,82.0,42.0
Belgium,125.0,30.0,100.0,43.0,36.0,117.0,18.0,121.0,20.0,112.0,30.0,104.0,67.0,112.0,119.0,78.0,92.0,122.0,105.0,63.0,28.0
France,94.0,41.0,121.0,39.0,56.0,135.0,26.0,129.0,33.0,113.0,3.0,110.0,121.0,113.0,126.0,102.0,124.0,121.0,130.0,74.0,20.0
Bahrain,139.0,57.0,73.0,61.0,60.0,53.0,45.0,97.0,45.0,,49.0,50.0,10.0,6.0,4.0,4.0,15.0,120.0,83.0,125.0,47.0
Malta,137.0,14.0,7.0,48.0,3.0,27.0,45.0,127.0,24.0,101.0,85.0,97.0,2.0,119.0,89.0,38.0,5.0,119.0,117.0,127.0,29.0
United Arab Emirates,93.0,31.0,114.0,4.0,15.0,111.0,50.0,102.0,9.0,,31.0,88.0,58.0,2.0,7.0,22.0,78.0,118.0,73.0,129.0,22.0
Saudi Arabia,16.0,71.0,131.0,6.0,80.0,123.0,41.0,74.0,52.0,99.0,21.0,93.0,102.0,12.0,6.0,82.0,110.0,117.0,96.0,104.0,39.0
Spain,75.0,4.0,116.0,30.0,5.0,128.0,12.0,137.0,13.0,103.0,46.0,118.0,112.0,53.0,99.0,125.0,116.0,116.0,118.0,51.0,56.0
Italy,109.0,2.0,122.0,26.0,7.0,132.0,14.0,135.0,4.0,,43.0,121.0,119.0,114.0,122.0,110.0,121.0,115.0,89.0,21.0,115.0
Slovenia,81.0,15.0,55.0,48.0,34.0,63.0,3.0,116.0,28.0,102.0,12.0,105.0,13.0,85.0,38.0,52.0,12.0,114.0,134.0,136.0,81.0
Guatemala,106.0,101.0,60.0,98.0,98.0,76.0,92.0,64.0,90.0,80.0,120.0,32.0,78.0,24.0,57.0,23.0,80.0,113.0,58.0,115.0,66.0
Uruguay,24.0,52.0,34.0,121.0,58.0,65.0,49.0,102.0,52.0,81.0,24.0,133.0,25.0,92.0,83.0,103.0,37.0,112.0,113.0,112.0,23.0
Singapore,140.0,10.0,78.0,26.0,2.0,107.0,11.0,136.0,33.0,,83.0,80.0,37.0,48.0,12.0,48.0,62.0,111.0,109.0,127.0,1.0
Slovakia,90.0,36.0,75.0,76.0,24.0,82.0,35.0,97.0,20.0,94.0,34.0,112.0,35.0,86.0,110.0,77.0,34.0,110.0,124.0,53.0,132.0
Brazil,27.0,53.0,126.0,98.0,48.0,131.0,72.0,81.0,80.0,74.0,60.0,76.0,135.0,53.0,128.0,118.0,136.0,109.0,91.0,68.0,61.0
Mexico,55.0,70.0,128.0,95.0,69.0,126.0,65.0,74.0,66.0,38.0,96.0,85.0,130.0,48.0,116.0,36.0,131.0,108.0,67.0,93.0,74.0
Jamaica,117.0,63.0,40.0,100.0,59.0,31.0,71.0,69.0,86.0,68.0,45.0,58.0,21.0,121.0,56.0,100.0,19.0,107.0,87.0,108.0,123.0
Lithuania,38.0,24.0,56.0,67.0,37.0,64.0,25.0,81.0,33.0,87.0,67.0,138.0,19.0,72.0,85.0,89.0,22.0,106.0,123.0,55.0,91.0
Cyprus,98.0,34.0,33.0,18.0,9.0,43.0,6.0,113.0,24.0,,102.0,71.0,7.0,115.0,15.0,99.0,9.0,105.0,52.0,52.0,103.0
Estonia,31.0,39.0,58.0,67.0,32.0,49.0,8.0,104.0,35.0,95.0,43.0,130.0,9.0,99.0,103.0,69.0,10.0,104.0,127.0,118.0,18.0
Panama,51.0,81.0,51.0,11.0,89.0,72.0,73.0,105.0,76.0,74.0,63.0,63.0,29.0,,67.0,42.0,33.0,103.0,99.0,96.0,111.0
Uzbekistan,64.0,95.0,99.0,,85.0,66.0,85.0,51.0,65.0,12.0,98.0,83.0,101.0,59.0,41.0,81.0,99.0,102.0,110.0,140.0,17.0
Chile,29.0,49.0,98.0,75.0,38.0,99.0,46.0,111.0,44.0,84.0,68.0,90.0,84.0,82.0,50.0,97.0,97.0,101.0,91.0,42.0,94.0
Poland,97.0,28.0,120.0,63.0,18.0,120.0,32.0,100.0,4.0,92.0,44.0,85.0,105.0,77.0,78.0,38.0,103.0,100.0,101.0,84.0,53.0
Kazakhstan,9.0,92.0,117.0,108.0,96.0,89.0,61.0,60.0,39.0,33.0,89.0,109.0,82.0,33.0,27.0,63.0,87.0,99.0,135.0,87.0,52.0
Romania,70.0,18.0,95.0,99.0,44.0,96.0,45.0,78.0,57.0,86.0,39.0,100.0,85.0,57.0,8.0,45.0,86.0,98.0,70.0,86.0,139.0
Kuwait,115.0,54.0,102.0,39.0,67.0,85.0,52.0,78.0,43.0,58.0,17.0,89.0,28.0,3.0,2.0,19.0,47.0,97.0,72.0,95.0,54.0
Serbia,79.0,14.0,84.0,55.0,21.0,60.0,37.0,79.0,43.0,77.0,95.0,106.0,45.0,85.0,64.0,120.0,43.0,96.0,86.0,57.0,96.0
El Salvador,120.0,77.0,36.0,12.0,63.0,46.0,67.0,59.0,75.0,39.0,57.0,63.0,40.0,81.0,60.0,48.0,52.0,95.0,38.0,107.0,40.0
Mauritius,134.0,28.0,22.0,22.0,15.0,25.0,75.0,69.0,81.0,28.0,114.0,88.0,8.0,88.0,14.0,94.0,6.0,94.0,104.0,95.0,70.0
Latvia,30.0,24.0,35.0,82.0,34.0,50.0,25.0,70.0,57.0,90.0,97.0,107.0,12.0,105.0,71.0,91.0,14.0,93.0,115.0,31.0,76.0
Colombia,39.0,60.0,101.0,94.0,54.0,103.0,69.0,95.0,87.0,65.0,33.0,78.0,113.0,56.0,133.0,108.0,118.0,92.0,74.0,82.0,100.0
Hungary,84.0,18.0,85.0,90.0,26.0,87.0,30.0,82.0,43.0,89.0,62.0,111.0,57.0,108.0,70.0,35.0,69.0,91.0,131.0,49.0,120.0
Thailand,101.0,32.0,119.0,30.0,25.0,119.0,58.0,93.0,69.0,61.0,9.0,46.0,122.0,61.0,32.0,5.0,114.0,90.0,94.0,106.0,127.0
Nicaragua,47.0,88.0,29.0,109.0,82.0,19.0,80.0,66.0,91.0,44.0,75.0,52.0,42.0,67.0,124.0,95.0,41.0,89.0,84.0,80.0,34.0
Japan,123.0,3.0,135.0,23.0,16.0,138.0,4.0,139.0,20.0,105.0,14.0,86.0,131.0,37.0,98.0,21.0,134.0,88.0,92.0,66.0,27.0
Argentina,18.0,66.0,112.0,136.0,77.0,115.0,61.0,88.0,70.0,96.0,30.0,119.0,111.0,20.0,137.0,109.0,119.0,87.0,101.0,77.0,95.0
Portugal,89.0,7.0,87.0,18.0,12.0,94.0,22.0,119.0,33.0,98.0,56.0,134.0,61.0,104.0,76.0,88.0,68.0,87.0,88.0,109.0,124.0
Honduras,72.0,90.0,47.0,102.0,89.0,44.0,79.0,75.0,82.0,59.0,113.0,31.0,56.0,76.0,75.0,73.0,60.0,85.0,57.0,89.0,84.0
